Debarun Chatterjee,My level is 2689﻿,12 hours ago,3,No video
Amarjeet Singh,Best game﻿,18 hours ago,3,No video
mohim alam,Which person its idea ? I play this game along 3 year ..and in case i didn't better move so i elsely back again try. But now its not back and its back so its cut my one life .... im very hurt is future..😠😠😠😡😡😡😤😤😤😤﻿,19 hours ago (edited),3,No video
george mukdisy,6044﻿,12 hours ago,2,No video
ramana kallu,😍🍭🍭🍭🍭🍬🍬🍬🍬🍬🍭🍭🍭🍭🍭🍬🍬🍬🍬﻿,19 hours ago,2,No video
Drucilla Johnson,Best game ever...👍🏽﻿,19 hours ago,2,No video
Kashif butt,I am 6046﻿,14 hours ago,2,No video
no name,Oh yeah ✌✌﻿,4 hours ago,1,No video
Bob esponja YT,Vuelvan a poner el mundo de ensueño﻿,12 hours ago,1,No video
محمود عبدالعال,انا فى المرحله 6050﻿,10 hours ago,1,No video
yasir rasheed,"Wao superb game 
Mn or sister buht khelti han ye game free time mn﻿",19 hours ago,1,No video
Sérgio Chin,Bom jogo 🤙﻿,19 minutes ago,0,No video
manoj khewadiya,Agar game ko on kare or vahi ka vahi game ko back kare to o hota ni ab plg dobara abdate bejho﻿,1 hour ago,0,No video
kailash trivedi,Ye game muje bahot pasand he me free time me khel leti hu ya u kaho free ho tab ghar ka kam karti hu .😎😎me  5350 level pe hu 0r abhi me top pe hu﻿,1 hour ago,0,No video
manoj khewadiya,3035 my level﻿,1 hour ago,0,No video
Israela Israela,930﻿,1 hour ago,0,No video
Swati Eli,"Best se bhi best,﻿",2 hours ago,0,No video
*സെമീർ AP*,I am 6050 level﻿,3 hours ago,0,No video
Ashok Panchal,Very very nice game﻿,3 hours ago,0,No video
Bera Zaravez,Voy en el nivel 6044﻿,3 hours ago,0,No video
Billy Marimon,It's the best game I know. It opens and sharpens your mind.👍👍👍﻿,4 hours ago,0,No video
Mazher khan Pathan,1213﻿,4 hours ago,0,No video
yousuf basha,this year my level is 6050 next year December 31st level is 8390 sure﻿,6 hours ago,0,No video
Sandeep singh,Ik baat PTA kardi hai candy crush  game ke total  level  kithe hai﻿,7 hours ago,0,No video
Mama Alifah,Sangat cocok untuk santai﻿,7 hours ago,0,No video
Saman Anwar,انا فى مرحله 6050﻿,9 hours ago,0,No video
kanchana sakthivel,4030﻿,7 hours ago,0,No video
lenin leni,Am now 6050... Waiting for new level﻿,12 hours ago,0,No video
Phượng Ngô,I'm 4679﻿,10 hours ago,0,No video
Omar Murad,I am 5120.﻿,12 hours ago,0,No video
Dj Aarti A audio,My level is 2020﻿,13 hours ago,0,No video
Dj Aarti A audio,My leval is 2020﻿,13 hours ago,0,No video
Nada Ainnurohmah,👅💣💣💣﻿,11 hours ago,0,No video
tulasi usha,"It's nice game to make brain sharper and  to reach target. I am at 3913 level ,,🤗🤗🤗﻿",16 hours ago,0,No video
avinash patil,I am 3100 level nice game﻿,15 hours ago,0,No video
Gulcemal Akgul,'@8jnvt9﻿,13 hours ago,0,No video
Gaurav Sahu,"I love the game so much i recently passed the level 6000
Currently at 6050﻿",18 hours ago,0,No video
osman çoban,Willing to order 45 levels is not enough  for me﻿,17 hours ago,0,No video
iSteri,i wonder if candy crush can make a level that has 100 moves﻿,18 hours ago,0,No video
Ruksana Begum,"I love this game so much . Aim to complete end level. 
Now my level is 2257﻿",18 hours ago,0,No video
Mudassir Ali,Im in 4698 level currently 💓﻿,16 hours ago,0,No video
Joseph M,I think I topped level 4000 this year! I’m currently at 4284!﻿,18 hours ago,0,No video
Sanghamitra Das,Nice game.i have completed 3000 levels﻿,16 hours ago,0,No video
pradeep verma,I love this game I am on 3757﻿,17 hours ago,0,No video
osman çoban,I love this game 6050﻿,17 hours ago (edited),0,No video
gk krish,I love this game.....💟💟💞﻿,17 hours ago,0,No video
Khalid Odeh,My  fievret game﻿,16 hours ago,0,No video
Rakib Laskar,Very nice﻿,16 hours ago,0,No video
Kusum Sharma,I love this game﻿,18 hours ago,0,No video
emar Emami,wow...the best game﻿,19 hours ago,0,No video
Suleman Badshah,Good gema﻿,17 hours ago,0,No video
mahadev powar,Ireland 6045﻿,18 hours ago,0,No video
Ahmed Ali,2040﻿,17 hours ago,0,No video
Sagar Debbarma,5103﻿,17 hours ago,0,No video
Manish Malik:,6050﻿,18 hours ago,0,No video
Mohamed Shepl,10000﻿,18 hours ago,0,No video
Dr Ullas Bhojkar,Topsocrer﻿,18 hours ago,0,No video
yousuf basha,my level is 6050 complete where 6000 gift﻿,3 days ago,10,No video
Md Imran,I have reached 4900 levels﻿,3 days ago,6,No video
luisa D R,level 6050 finished!﻿,3 days ago,5,No video
Sylwia Wojtyna,X﻿,3 days ago,4,No video
Suresh gurjar,890level complet﻿,3 days ago,4,No video
suman patel,OK OK thanks. Good for entertainment.﻿,3 days ago,4,No video
Grungus Jarvis,Wouch.﻿,3 days ago,3,No video
Iro Suvonkulova,2692﻿,3 days ago,3,No video
Kolampi Music 5.1,💘💘💘💘💘﻿,3 days ago,3,No video
Alex,eu to no nível 1o18﻿,3 days ago,3,No video
Cynthia Beverly,I have done 8009﻿,2 days ago,3,No video
*സെമീർ AP*,6050 finished﻿,2 days ago,2,No video
Israela Israela,920﻿,2 days ago,2,No video
Krishna Chaithanya,I finished 6050 level on top﻿,3 days ago,2,No video
babu rao,4041﻿,5 hours ago,1,No video
Murunga Lilechi,Will be quitting candy crush in the next few days after hitting level 6000.﻿,2 days ago,1,No video
Alfredo Montealegre,"For Xmas I want
 The Dreamworld back to candy crush﻿",2 days ago,1,No video
Syed Amir,6050 level compeleted﻿,2 days ago,1,No video
Ravi thakuriya,700﻿,2 days ago,1,No video
India youtuber rock,1700level complelt﻿,2 days ago,1,No video
Jarnail Sandhu,900level﻿,2 days ago,1,No video
Mohammed Iffran,I like so much  🍬 crush  i love it﻿,3 days ago,1,No video
FARUK Khan,2197 level﻿,3 days ago,1,No video
Amal Sherif,1473﻿,3 days ago,1,No video
Randhir Kumar,6050﻿,3 days ago,1,No video
Ashok Panchal,Ashok panchal 6050﻿,3 days ago,1,No video
HAZEM HAIDAR,💙🎁﻿,3 days ago,1,No video
Arjuna Ashok,I finshe 3286 level﻿,3 days ago,1,No video
فتحي العشاري,لقد وصلت الى المرحله 6003 تحياتي، من اليمن السعيد﻿,3 days ago,1,No video
jayashree venkatesh,I hv completed 10521﻿,2 days ago,1,No video
Khalid Odeh,😍😍😍😍😍😍😍😍😍﻿,16 hours ago,0,No video
Neha Singh,I have reached level 1795﻿,1 day ago,0,No video
Jitendra Guota,My level is 6028﻿,1 day ago,0,No video
Faheem Ahm,Full enjoy﻿,1 day ago,0,No video
Faheem Ahm,6050 compleet﻿,1 day ago,0,No video
Rakibul Islam,my level 4125﻿,1 day ago,0,No video
Arya Sumit,I have completed 1077 lable﻿,2 days ago,0,No video
saroj bala,Complete 1896﻿,1 day ago,0,No video
Ramdas Khandare,I complete level 5269﻿,2 days ago,0,No video
martha 11,2185﻿,1 day ago,0,No video
mahadev powar,6057﻿,2 days ago,0,No video
Saranchimeg Dolgorsuren,My level 1670﻿,2 days ago,0,No video
Dynamo Ked dynamo,Hii﻿,2 days ago,0,No video
Analía Reyes,Level 3446 🎅 Candy Crush 🍬🍬🍭🍭🍬🍭🍬﻿,2 days ago,0,No video
Cecilio Lopez,Good﻿,2 days ago,0,No video
ĸanaraм cнoυdнary,6030 complete﻿,2 days ago,0,No video
лобар хон,1112﻿,2 days ago,0,No video
Enciu Claudia,My level of Candy Crush is 4862﻿,2 days ago,0,No video
manjula e,I am also 2340 finished﻿,2 days ago,0,No video
Kusum Sharma,I love candy crush my level5696﻿,2 days ago,0,No video
John Conlon,Belfast﻿,2 days ago,0,No video
soma shankar,My level is 3224﻿,2 days ago,0,No video
Dj Aarti A audio,My level 1990﻿,2 days ago,0,No video
Laptop Earn,4026﻿,3 days ago,0,No video
md taher Bd 24,3430﻿,3 days ago,0,No video
